528,530.5,530.5,534,528.5,526.5,528,526,528,527,526.5,525.5,526.5,527.5,525,527,527,527,526,527,524.5,525,527.5,526,526,528.5,527,527,526,524,524,526,527,528,527,526.5,527,527,527.5,529.5,528,530,526.5,525.5,527.5,528,526.5,529,524,528,527,526.5,524,531,528,529,528,530.5,529.5,530,528.5,529,524.5,530,527,528.5,526.5,525,530,528.5,524.5,529,525.5,525.5,529,526.5,528.5,527.5,527,528,525.5,525,527,528,526,524.5,527.5,526.5,526,527,525.5,528,525,525.5,529.5,528,528.5,527,529.5,528
518,519.5,518.5,521,520,519,521.5,517,519.5,518,521.5,519.5,518,518.5,519,518,520,520,517,520.5,518,519.5,519,520.5,522.5,523.5,523,521,522.5,522,521.5,521,522.5,523.5,524,524,523,521.5,521,521.5,521,522.5,523,522.5,522.5,520,521.5,519.5,521,522.5,521,521.5,519.5,521,519,522,521,523.5,520,519.5,518.5,521,520.5,521,521,521.5,520.5,521.5,521,519,519,521,521,519,519.5,521,519.5,520,519,519.5,521,518.5,520.5,517.5,518.5,521,518,520,521,521,519,520,522,518.5,519.5,521,519,518.5,521,519
514,517,516.5,519,515.5,516.5,518,517.5,514,514,515,515,514.5,515,513.5,517.5,513,515,515.5,515.5,514.5,513,515,515,515.5,518.5,516,515,517,514,513.5,517.5,516.5,516,515,516,516.5,513.5,512.5,514,512.5,514.5,512.5,514.5,514,515,516.5,514,515.5,514,514,513.5,515,515,516,515,518,516,518.5,515.5,514,515.5,514.5,516,515,513.5,515,514.5,513,511,514.5,514,513.5,513.5,517.5,513.5,515,512.5,514,513.5,513.5,513,515,513,513.5,513,515,514,513.5,511,513.5,513.5,514.5,513.5,514.5,514.5,515.5,512,514,512
516,516,515.5,515,516,513,514,517,515.5,514,513.5,515,515,517,516,513.5,518,515,516,516.5,518.5,514.5,514,515,516.5,519,518.5,515.5,515,515,516,517,515.5,515.5,515,517.5,515,513.5,518,516.5,514.5,515,518,516,516,518.5,517,513.5,513,513.5,513.5,516,511,516,511.5,516,515.5,517.5,514,514,516.5,513,515,514.5,513.5,515.5,516.5,516.5,517.5,516.5,513.5,516.5,513,512,517,514,513,515.5,514,515.5,514.5,514.5,516,515,512,513.5,512.5,514.5,514,512.5,512.5,514.5,515,513,515,514.5,516.5,512.5,512.5,511.5
515,516.5,515.5,518,518.5,517,516,516,516,516.5,515,516.5,514,514.5,512.5,516.5,516,515.5,517.5,517.5,517,515,516.5,516,518,516.5,516.5,515.5,517,518,515,516,516.5,515,515.5,518.5,516,515,517,515.5,515.5,520,516.5,517,513.5,516,514,514,515,516.5,516.5,517,515.5,516,519,515.5,517.5,517,520,513.5,514.5,516,513.5,514.5,515,514,515.5,516.5,514,513.5,516.5,513.5,516.5,516,512.5,514.5,513,513.5,515,516.5,514,515.5,516.5,514,513,515.5,515,516,516.5,514,515,515,515.5,512.5,513,515,513.5,515.5,516,513.5
516,516.5,516,512.5,515,512.5,517,515,513,514,512.5,516,515,515,513,516.5,513.5,515,517,515,514.5,516.5,518.5,516,519.5,515.5,519,518.5,517,516,514.5,515,516,516.5,516,515.5,514,515.5,515,518.5,516,517.5,514.5,518.5,517.5,513.5,516.5,515,514,515.5,516.5,518,514,515,514.5,516,516,516,517.5,515,515,514,514,514.5,514,515,514,513,514.5,513.5,515.5,515,513,514.5,514,514,515,515,518.5,514,515,515.5,515.5,513.5,513,517,514,513.5,513,514,514,515,515.5,513,515.5,514,513,515.5,515,514.5
517,516.5,515.5,514.5,516.5,516.5,516.5,516,517,516.5,516,515,514,518.5,514,513.5,515.5,514.5,516.5,515,515,519,517.5,516.5,515,514.5,516.5,516,518.5,519.5,517.5,517,515,515.5,517,515.5,519,517,517,518,515,515,517.5,516.5,517,517,515.5,514,517.5,515.5,516.5,516,515.5,514,516,516,517.5,515,515.5,517,514,515,517,515.5,516,513,516.5,515.5,513,515,513.5,517,515.5,514,514,514.5,513,515,514,517,518,515.5,515.5,516.5,514.5,513.5,514.5,515,514.5,514,514.5,515,516,515.5,517,515.5,516,515,516,514
515.5,514,517.5,513.5,517,514.5,513,518.5,515.5,513.5,516,516,515.5,516.5,516,516.5,515.5,517.5,520,514,516.5,515,516.5,515.5,519,516.5,516,520,518,516.5,517,518.5,518,517.5,515.5,516.5,517,516,516.5,515.5,514,514.5,516.5,516,518,515.5,515,515.5,516.5,518.5,517.5,514.5,514.5,517,518,516.5,518.5,518,518.5,518,514,514.5,516,516.5,517.5,516,520.5,519,516.5,515.5,513,516,518,517,514.5,515,514.5,516,512.5,515,514,514,515,514,512.5,515.5,515.5,514.5,515.5,514,516,517,516,514.5,514.5,515,516,515.5,511.5,512
515,514,517,517.5,517.5,514,518.5,518.5,516,515.5,516.5,513.5,515,517,516.5,515,514,517,512,516,517.5,515.5,517,516.5,517,517,518.5,519,519.5,514.5,517.5,518,518,517,519.5,518.5,519.5,517.5,516.5,514.5,516.5,515,516,517.5,518,514.5,515,515,515,515,515,517.5,515.5,516,517,517.5,515,518,518.5,519.5,517,517,517.5,519.5,515.5,515,516.5,514,514,512.5,514.5,514.5,515.5,514.5,517,514.5,513,515,514.5,515.5,515,517,514,515.5,515.5,517.5,515,512,513,518,517,514.5,514.5,518,515,516.5,515,515.5,514,512
513.5,516.5,515,516,515,518,517.5,517.5,515.5,514.5,515.5,512.5,517,515,514,516,516.5,517.5,518,516,516.5,515,517,516.5,518,519.5,518,520,515,513.5,518,519.5,517.5,517.5,517.5,518.5,516,517.5,517,519.5,517,517,519,517.5,517,513,518.5,516,518,518,515.5,515.5,515.5,516,514,515.5,516.5,515.5,516,515,515.5,513.5,515.5,517.5,516.5,516,516.5,516.5,515,516,513.5,514,514,517,513.5,514,516,515,515.5,514,514,512,513.5,516,515.5,514,511.5,515.5,516.5,515.5,513,516.5,514,514.5,514.5,516,515,513.5,514,515
